submission_id,ID,QUD,RT,block,competence,condition,critical_question,exp_condition,experiment_id,main_type,prior,prompt,question,relevance,response,test_question,title,trial_name,trial_number,attention_prop,passed_attention_check
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",42351,test_question1,1,test,NA,hhh,73,some,1,<b>Harry has just visited San Diego.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,test_true2,Hotel check,main_trials,11,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",20774,pri,1,critical,NA,hhh,73,some,1,"<b>If at least some of the rooms had working air conditioning, then all of the rooms had working air conditioning.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,82,no,Hotel check,main_trials,12,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",17495,rel,1,critical,NA,hhh,73,some,1,<b>It is important for Mr. Jaynes to know whether all of the rooms had working air conditioning.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,no,Hotel check,main_trials,13,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",14144,comp,1,critical,NA,hhh,73,some,1,<b>Harry knows whether all of the rooms had working air conditioning.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,no,Hotel check,main_trials,14,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",37696,test_question2,1,test,NA,hhh,73,some,1,<b>Harry will inspect the Los Angeles hotel next.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,51,test_uncertain2,Hotel check,main_trials,15,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",252797,test_question3,1,test,NA,hhh,73,some,1,<b>Mr. Jaynes is the manager of the San Diego hotel.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,78,test_false2,Hotel check,main_trials,16,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",10246,test_question4,1,test,NA,hhh,73,some,1,<b>Harry has just inspected the New York City hotel.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,0,test_false1,Hotel check,main_trials,17,1,TRUE
2354,34,"Harry's job is to inspect hotels of an international franchise. Harry has to check whether everything is according to the high standards of the organization. He reports to his boss Mr. Jaynes after a thorough inspection of the San Diego hotel, which is usually in perfect condition.",32295,some,1,critical,<b>Harry reports to Mr. Jaynes: 'Some of the rooms had working air conditioning.'</b>,hhh,73,some,1,<b>From what Harry said we may conclude that not all of the rooms had working air conditioning.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,77,no,Hotel check,main_trials,18,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,17574,test_question1,0,test,NA,lll,73,xor,0,<b>Susie has watched many movies with Will Smith.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,30,test_uncertain2,Brad Pitt,main_trials,19,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,13272,comp,0,critical,NA,lll,73,xor,0,<b>Sandra knows whether Brad Pitt played both a fireman and a special agent in that other movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,52,no,Brad Pitt,main_trials,20,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,10071,rel,0,critical,NA,lll,73,xor,0,<b>It is important for Susie to know whether Brad Pitt played both a fireman and a special agent in that other movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,62,no,Brad Pitt,main_trials,21,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,8669,pri,0,critical,NA,lll,73,xor,0,"<b>If Brad Pitt played a fireman, it is likely that he also played a special agent in that other movie.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,49,no,Brad Pitt,main_trials,22,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,15844,pri,0,critical,NA,lll,73,xor,0,"<b>If Brad Pitt a special agent, it is likely that he also played a fireman in that other movie.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,52,no,Brad Pitt,main_trials,23,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,4941,test_question2,0,test,NA,lll,73,xor,0,<b>Sandra and Susie like Brad Pitt.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,test_true2,Brad Pitt,main_trials,24,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,8858,test_question3,0,test,NA,lll,73,xor,0,<b>Sandra likes Sandra Bullock.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,26,test_uncertain1,Brad Pitt,main_trials,25,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,3406,test_question4,0,test,NA,lll,73,xor,0,<b>Brad Pitt is an actor.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,test_true1,Brad Pitt,main_trials,26,1,TRUE
2354,4,Sandra and Susie are watching a movie with Brad Pitt. Sandra vaguely remembers another movie with Brad Pitt. She tells Susie about it.,19463,xor,0,critical,<b>Sandra says to Susie: ‘Brad Pitt played a fireman or a special agent in that other movie.'</b>,lll,73,xor,0,<b>From what Sandra said we may conclude that Brad Pitt did not play both a fireman and a special agent in that other movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,no,Brad Pitt,main_trials,27,1,TRUE
2354,NA,"A chocolate brand recently introduced new flavors. Please move the slider all the way to the left. To get people to try them, the company offers a discount price if you buy chocolate bars in all of the new flavors at the same time. Anna thinks that it's only worth the price if all of the flavors are good.",11864,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>Anna already tried the new salted caramel chocolate bar.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,0,NA,Chocolate flavors,main_trials,28,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",62649,test_question1,0,test,NA,hlh,73,some,1,<b>Ethan is trying to get into an Ivy League college.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,0,test_true2,Harvard admission exams,main_trials,29,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",9149,pri,0,critical,NA,hlh,73,some,1,"<b>If Ethan passed at least some of the exams, then he passed all of the exams.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,51,no,Harvard admission exams,main_trials,30,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",17535,comp,0,critical,NA,hlh,73,some,1,<b>Eleanor knows whether Ethan passed all of the exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,51,no,Harvard admission exams,main_trials,31,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",42730,rel,0,critical,NA,hlh,73,some,1,<b>It is important for Ethan to know whether he passed all of the exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,no,Harvard admission exams,main_trials,32,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",444487,test_question2,0,test,NA,hlh,73,some,1,<b>Eleanor and Ethan go to the same school.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,test_true1,Harvard admission exams,main_trials,33,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",12683,test_question3,0,test,NA,hlh,73,some,1,<b>Ethan took his exams yesterday.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,0,test_false1,Harvard admission exams,main_trials,34,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",9552,test_question4,0,test,NA,hlh,73,some,1,<b>Eleanor passed some of her exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,76,test_uncertain2,Harvard admission exams,main_trials,35,1,TRUE
2354,43,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",10781,some,0,critical,<b>Eleanor says: 'You passed some of the exams.'</b>,hlh,73,some,1,<b>From what Eleanor said we may conclude that Ethan did not pass all of the exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,no,Harvard admission exams,main_trials,36,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",68336,test_question1,0,test,NA,hll,73,xor,0,<b>Alice likes Michael Jackson.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,51,test_uncertain2,College,main_trials,37,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",88771,rel,0,critical,NA,hll,73,xor,0,<b>It is important for Alice to know whether Matthew got accepted to a college in both Washington and Austin.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,50,no,College,main_trials,38,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",12840,comp,0,critical,NA,hll,73,xor,0,<b>The neighbor knows whether Matthew got accepted to a college in both Washington and Austin.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,73,no,College,main_trials,39,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",9542,pri,0,critical,NA,hll,73,xor,0,"<b>If Matthew got accepted to a college in Washington, it is likely that he also got accepted to a college in Austin.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,52,no,College,main_trials,40,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",7206,pri,0,critical,NA,hll,73,xor,0,"<b>If Matthew got accepted to a college in Austin, it is likely that he also got accepted to a college in Washington.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,50,no,College,main_trials,41,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",18317,test_question2,0,test,NA,hll,73,xor,0,<b>Matthew wants to become a carpenter.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,48,test_false1,College,main_trials,42,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",7282,test_question3,0,test,NA,hll,73,xor,0,<b>Matthew and Alice like each other.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,28,test_true1,College,main_trials,43,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",15832,test_question4,0,test,NA,hll,73,xor,0,<b>Alice is shopping for groceries.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,85,test_true2,College,main_trials,44,1,TRUE
2354,20,"Matthew and Alice recently sent out applications for colleges. Alice would love to go to the same college as Matthew, so they applied to the same colleges. However, Matthew was not a very good student so she would be surprised if he got accepted to even one college. Coincidentally, Alice runs into a neighbor of Matthew’s family at the supermarket. The neighbor tells her what he heard about Matthew’s applications.",13579,xor,0,critical,<b>The neighbor says to Alice: 'I heard Matthew got accepted to a college in Washington or Austin.'</b>,hll,73,xor,0,<b>From what the neighbor said we may conclude that Matthew didn't get accepted to a college in both Austin and Washington.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,0,no,College,main_trials,45,1,TRUE
2354,NA,Mrs. McCartney organized a quiz event at a nursing home. The residents are asked to hand in their answers on a sheet of paper in groups. Please move the slider all the way to the right. Mrs. McCartney is announcing the results of the first question.,56130,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>The residents really like Mrs. McCartney's events.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,100,NA,Quiz,main_trials,46,1,TRUE
2354,NA,"Jason Barley and Richard Trellis are TV experts engaged in a live discussion of the current NBA season. They are debating about whether Greg Jones should be the Most Valuable Player of the season. Please click on the slider handle and leave it in the middle. Jason Barley thinks so, but Richard Trellis is less convinced.",52012,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>Greg Jones secured victory for his team during the last seconds of a decisive games.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,51,NA,TV experts,main_trials,47,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,90851,test_question1,1,test,NA,lhl,73,some,0,<b>Mr. Gibson is Mrs. Todd’s husband.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,0,test_false1,Mrs. Todd's math exams,main_trials,48,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,12744,rel,1,critical,NA,lhl,73,some,0,<b>It is important for Mr. Gibson to know whether all of the students failed to solve the first exercise.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,no,Mrs. Todd's math exams,main_trials,49,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,37864,pri,1,critical,NA,lhl,73,some,0,"<b>If at least some of the students failed to solve the first exercise, then all of the students failed to solve the first exercise.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,52,no,Mrs. Todd's math exams,main_trials,50,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,14139,comp,1,critical,NA,lhl,73,some,0,<b>Mrs. Todd knows whether all of the students failed to solve the first exercise.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,92,no,Mrs. Todd's math exams,main_trials,51,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,10696,test_question2,1,test,NA,lhl,73,some,0,<b>Mrs. Todd teaches the seventh grade.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,49,test_uncertain1,Mrs. Todd's math exams,main_trials,52,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,3559,test_question3,1,test,NA,lhl,73,some,0,<b>Mrs. Todd also teaches biology.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,51,test_uncertain2,Mrs. Todd's math exams,main_trials,53,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,6888,test_question4,1,test,NA,lhl,73,some,0,<b>Mrs. Todd is not happy about her students’ performance.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,test_true1,Mrs. Todd's math exams,main_trials,54,1,TRUE
2354,55,Mrs. Todd just corrected math exams. She complains to her colleague Mr. Gibson about the students’ performance.,14862,some,1,critical,<b>Mrs. Todd says to Mr. Gibson: 'Some of the students failed to solve even the first exercise.'</b>,lhl,73,some,0,<b>From what Mrs. Todd said we may conclude that not all of the students failed to solve the first exercise.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,no,Mrs. Todd's math exams,main_trials,55,1,TRUE
2354,NA,Freddy is finally allowed to get a cat. Please move the slider all the way to the left. He and his mum go to the animal shelter to choose one they want to take home with them.,54210,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>Freddy liked a little white kitten the most.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,0,NA,Shelter,main_trials,56,1,TRUE
2354,NA,Mr. Carpenter teaches at a university. He gave his students a homework assignment last week. Please click on the slider handle and leave it in the middle. The students are supposed to submit their homework by putting it in a dedicated post box. Mr. Carpenter collects the submitted assignments.,35680,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>All students submitted their homework on time.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,48,NA,Homework,main_trials,57,1,TRUE
2354,NA,"One of the duties of a restaurant health inspector is to test whether the food doesn't contain more bacteria than allowed. Please move the slider all the way to the left. After an inspection, the inspector talks to the restaurant owner.",6502,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>The restaurant owner had to pay a fine because some food contained bacteria.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,0,NA,Health inspector,main_trials,58,1,TRUE
2354,NA,John and his wife are eating dinner. They have been extremely busy all day in connection with their stressful jobs as real estate agents. Please move the slider all the way to the right. They are discussing a rumor saying that a famous singer has committed suicide in the morning.,6000,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>John really liked that singer.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,100,NA,Rumors,main_trials,59,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",24298,test_question1,1,test,NA,lhh,73,xor,1,<b>Anna and Julia go to the same school.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,test_true1,School,main_trials,60,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",10180,pri,1,critical,NA,lhh,73,xor,1,"<b>If Anna excels at Math, it is likely that she excels at Physics as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,51,no,School,main_trials,61,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",12824,pri,1,critical,NA,lhh,73,xor,1,"<b>If Anna excels at Physics, it is likely that she excels at Math as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,48,no,School,main_trials,62,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",8073,comp,1,critical,NA,lhh,73,xor,1,<b>Anna's mum knows whether Anna excels at both Math and Physics.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,no,School,main_trials,63,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",9190,rel,1,critical,NA,lhh,73,xor,1,<b>It is important for Julia's mum to know whether Anna excels at both Math and Physics.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,no,School,main_trials,64,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",7197,test_question2,1,test,NA,lhh,73,xor,1,<b>Julia's mum believes that girls should be good at Chemistry.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,51,test_false1,School,main_trials,65,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",9645,test_question3,1,test,NA,lhh,73,xor,1,<b>Anna and Julia are about to finish school for the day.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,test_true2,School,main_trials,66,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",12658,test_question4,1,test,NA,lhh,73,xor,1,<b>Anna and Julia have been friends since first grade.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,51,test_uncertain1,School,main_trials,67,1,TRUE
2354,15,"Julia's mum and Anna's mum wait for their children in front of the school. Julia's mum says that girls should be good at arts and languages. According to her, all other subjects are male domains.",20143,xor,1,critical,<b>Anna's mum says to Julia's mum: 'Anna excels at Math or Physics.'</b>,lhh,73,xor,1,<b>From what Anna's mum said we may conclude that Anna does not excel at both Math and Physics.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,49,no,School,main_trials,68,1,TRUE
